lambda,n_qmc_eta10,n_err_eta10,n_ed_eta10,ntilde_qmc_eta10,ntilde_ed_eta10,x2_qmc_eta10,x2_err_eta10,x2_ed_eta10,n_qmc_eta50,n_err_eta50,n_ed_eta50,ntilde_qmc_eta50,ntilde_ed_eta50,x2_qmc_eta50,x2_err_eta50,x2_ed_eta50,n_qmc_eta200,n_err_eta200,n_ed_eta200,ntilde_qmc_eta200,ntilde_ed_eta200,x2_qmc_eta200,x2_err_eta200,x2_ed_eta200,n_qmc_eta500,n_err_eta500,n_ed_eta500,ntilde_qmc_eta500,ntilde_ed_eta500,x2_qmc_eta500,x2_err_eta500,x2_ed_eta500
0.750000,4.7550833333e-2,1.4148102444e-4,4.7344088389e-2,4.7550833333e-1,4.7344088389e-1,1.1990545405e0,1.1012669302e-3,1.1978779205e0,1.0841666667e-2,6.7321263701e-5,1.0822404016e-2,5.4208333333e-1,5.4112020082e-1,1.0446459602e0,1.0125316543e-3,1.0437129707e0,2.7616666667e-3,3.3936126140e-5,2.7847240157e-3,5.5233333333e-1,5.5694480314e-1,1.0118951854e0,1.0394052478e-3,1.0111665873e0,1.0979166667e-3,2.1400025622e-5,1.1205170867e-3,5.4895833333e-1,5.6025854337e-1,1.0033185928e0,4.2800082760e-5,1.0044865403e0
0.800000,5.4055833333e-2,1.5107080992e-4,5.3996084177e-2,5.4055833333e-1,5.3996084177e-1,1.2259299301e0,1.1007145002e-3,1.2255369930e0,1.2299166667e-2,7.1697698692e-5,1.2314932503e-2,6.1495833333e-1,6.1574662516e-1,1.0499553940e0,1.0082484555e-3,1.0497399929e0,3.1558333333e-3,3.6225522739e-5,3.1684212974e-3,6.3116666667e-1,6.3368425949e-1,1.0123746922e0,8.7642945535e-4,1.0127051676e0,1.2979166667e-3,2.3238856038e-5,1.2749010122e-3,6.4895833333e-1,6.3745050610e-1,1.0051779681e0,9.2605606063e-4,1.0051046906e0
0.900000,6.8328333333e-2,1.6959499662e-4,6.8691414588e-2,6.8328333333e-1,6.8691414588e-1,1.2845668703e0,1.1357244853e-3,1.2865268107e0,1.5613333333e-2,8.0759736026e-5,1.5590070964e-2,7.8066666667e-1,7.7950354819e-1,1.0615357690e0,9.3688203744e-4,1.0629641902e0,4.0537500000e-3,4.1048515778e-5,4.0101002943e-3,8.1075000000e-1,8.0202005886e-1,1.0175139120e0,1.0660092968e-3,1.0160801793e0,1.5866666667e-3,2.5697437543e-5,1.6135509537e-3,7.9333333333e-1,8.0677547685e-1,1.0053055401e0,5.1963036264e-4,1.0064606371e0
1.000000,8.5422916667e-2,1.9018319290e-4,8.5279569987e-2,8.5422916667e-1,8.5279569987e-1,1.3562772241e0,1.1991373919e-3,1.3551941473e0,1.9193750000e-2,8.9533628895e-5,1.9252463154e-2,9.5968750000e-1,9.6262315770e-1,1.0777985537e0,9.8968582456e-4,1.0777500334e0,4.9558333333e-3,4.5465269381e-5,4.9508335126e-3,9.9116666667e-1,9.9016670253e-1,1.0204126959e0,1.0582023769e-3,1.0198523507e0,1.9808333333e-3,2.8730866056e-5,1.9920442263e-3,9.9041666667e-1,9.9602211314e-1,1.0076276816e0,8.4025751933e-4,1.0079761133e0
1.100000,1.0379375000e-1,2.0988781033e-4,1.0380747299e-1,1.0379375000e0,1.0380747299e0,1.4316269728e0,1.2459333078e-3,1.4316823177e0,2.3349166667e-2,9.8693263577e-5,2.3302732034e-2,1.1674583333e0,1.1651366017e0,1.0959852366e0,1.0481859353e-3,1.0940994001e0,6.0358333333e-3,5.0039080815e-5,5.9906318935e-3,1.2071666667e0,1.1981263787e0,1.0234904721e0,8.8020966143e-4,1.0240217148e0,2.4150000000e-3,3.1716028633e-5,2.4103815475e-3,1.2075000000e0,1.2051907737e0,1.0089703884e0,7.7779737228e-4,1.0096511212e0
1.200000,1.2458833333e-1,2.2994366240e-4,1.2432304115e-1,1.2458833333e0,1.2432304115e0,1.5162514834e0,1.3047525221e-3,1.5161374815e0,2.7792083333e-2,1.0764115571e-4,2.7741553365e-2,1.3896041667e0,1.3870776682e0,1.1112678120e0,9.9603512064e-4,1.1120143270e0,7.1883333333e-3,5.4686440445e-5,7.1295074702e-3,1.4376666667e0,1.4259014940e0,1.0309627833e0,1.0668674732e-3,1.0285883078e0,2.8112500000e-3,3.4195262347e-5,2.8685637088e-3,1.4056250000e0,1.4342818544e0,1.0113960676e0,9.2454816432e-4,1.0114856632e0
1.300000,1.4677208333e-1,2.5057148107e-4,1.4687412111e-1,1.4677208333e0,1.4687412111e0,1.6084182631e0,1.3635978653e-3,1.6087053678e0,3.2656666667e-2,1.1672469446e-4,3.2569652069e-2,1.6328333333e0,1.6284826034e0,1.1325758138e0,1.0403680995e-3,1.1314969987e0,8.3416666667e-3,5.9008001262e-5,8.3674733512e-3,1.6683333333e0,1.6734946702e0,1.0335160793e0,9.3606423566e-4,1.0335521689e0,3.4225000000e-3,3.7650394439e-5,3.3665915751e-3,1.7112500000e0,1.6832957875e0,1.0121946127e0,7.0737663758e-4,1.0134797420e0
1.400000,1.7193125000e-1,2.7015947877e-4,1.7150739867e-1,1.7193125000e0,1.7150739867e0,1.7112104104e0,1.4276366564e-3,1.7095279387e0,3.7864583333e-2,1.2580397555e-4,3.7787798345e-2,1.8932291667e0,1.8893899173e0,1.1542731009e0,1.0606296558e-3,1.1525497361e0,9.6658333333e-3,6.3475957810e-5,9.7045437005e-3,1.9331666667e0,1.9409087401e0,1.0389110208e0,9.4228937211e-4,1.0389133407e0,3.9400000000e-3,4.0504515523e-5,3.9044660844e-3,1.9700000000e0,1.9522330422e0,1.0154133726e0,8.8886721147e-4,1.0156333603e0
1.500000,1.9873833333e-1,2.9077573373e-4,1.9826731491e-1,1.9873833333e0,1.9826731491e0,1.8198177451e0,1.4879730011e-3,1.8187400842e0,4.3519166667e-2,1.3457415922e-4,4.3396803543e-2,2.1759583333e0,2.1698401771e0,1.1756960007e0,1.0595402983e-3,1.1751749840e0,1.1166250000e-2,6.8314333398e-5,1.1140733717e-2,2.2332500000e0,2.2281467435e0,1.0449913634e0,9.5344981116e-4,1.0446718689e0,4.5720833333e-3,4.3647984706e-5,4.4821882469e-3,2.2860416667e0,2.2410941234e0,1.0201296324e0,1.1110364980e-3,1.0179465212e0
2.000000,3.6477166667e-1,3.9636440668e-4,3.6524089260e-1,3.6477166667e0,3.6524089260e0,2.4915404346e0,1.8293638174e-3,2.4944956108e0,7.7059166667e-2,1.7945625279e-4,7.7335432038e-2,3.8529583333e0,3.8667716019e0,1.3102670037e0,1.1526187066e-3,1.3119814250e0,1.9716250000e-2,9.0347875261e-5,1.9809080369e-2,3.9432500000e0,3.9618160738e0,1.0773814072e0,9.3756141171e-4,1.0794266624e0,7.9958333333e-3,5.7798860503e-5,7.9685542109e-3,3.9979166667e0,3.9842771055e0,1.0330563844e0,9.9514439867e-4,1.0319055854e0
