lambda,u4n_qmc_eta10,u4n_ed_eta10,n_mean_eta10,u4n_qmc_eta50,u4n_ed_eta50,n_mean_eta50,u4n_qmc_eta200,u4n_ed_eta200,n_mean_eta200,u4n_qmc_eta500,u4n_ed_eta500,n_mean_eta500
0.555000,-1.7125735633e0,-1.3274619021e1,2.5780000000e-2,-6.7282777407e0,-5.6333608697e1,5.9987500000e-3,-2.8109275458e1,-2.1861354320e2,1.4700000000e-3,-6.3157201633e1,-5.4325521510e2,6.5500000000e-4
0.560000,-1.6032205645e0,-1.3041274416e1,2.6103750000e-2,-6.9298389522e0,-5.5332815944e1,6.1800000000e-3,-2.6485451162e1,-2.1472733310e2,1.6037500000e-3,-6.2322531129e1,-5.3359760783e2,6.7500000000e-4
0.565000,-1.5351402175e0,-1.2814078520e1,2.6362500000e-2,-6.4800616236e0,-5.4358474344e1,6.2575000000e-3,-2.6523080963e1,-2.1094383947e2,1.5600000000e-3,-6.4736077526e1,-5.2419526101e2,6.2750000000e-4
0.570000,-1.5271466736e0,-1.2592816426e1,2.7115000000e-2,-7.0750342224e0,-5.3409659862e1,6.2387500000e-3,-2.5224980050e1,-2.0725947406e2,1.6425000000e-3,-6.4341625871e1,-5.1503925753e2,6.3125000000e-4
0.575000,-1.4255360386e0,-1.2377282534e1,2.7752500000e-2,-6.5814377921e0,-5.2485488465e1,6.3062500000e-3,-2.5587980725e1,-2.0367080399e2,1.5887500000e-3,-6.2287166277e1,-5.0612106630e2,6.6375000000e-4
0.580000,-1.5320528186e0,-1.2167280070e1,2.7957500000e-2,-6.7375295647e0,-5.1585114056e1,6.4425000000e-3,-2.4706985868e1,-2.0017454366e2,1.6837500000e-3,-6.3793284921e1,-4.9743252234e2,6.4875000000e-4
0.585000,-1.5609139556e0,-1.1962620632e1,2.8336250000e-2,-6.3505220756e0,-5.0707726545e1,6.5912500000e-3,-2.6458959970e1,-1.9676754733e2,1.5950000000e-3,-5.7541851768e1,-4.8896580811e2,7.0375000000e-4
0.590000,-1.4977956754e0,-1.1763123770e1,2.9125000000e-2,-6.1328733048e0,-4.9852550019e1,6.7775000000e-3,-2.3121585817e1,-1.9344680193e2,1.7637500000e-3,-6.0008054436e1,-4.8071343591e2,7.2125000000e-4
0.595000,-1.4823629208e0,-1.1568616584e1,2.9738750000e-2,-6.0029875940e0,-4.9018841030e1,6.8250000000e-3,-2.2924485844e1,-1.9020942051e2,1.8200000000e-3,-6.0350164093e1,-4.7266823133e2,7.1750000000e-4
0.600000,-1.5013370977e0,-1.1378933350e1,3.0108750000e-2,-5.9216718986e0,-4.8205886977e1,6.9687500000e-3,-2.2619298769e1,-1.8705263587e2,1.7875000000e-3,-5.7311378781e1,-4.6482331764e2,7.1875000000e-4
0.605000,-1.2679425740e0,-1.1193915166e1,3.0916250000e-2,-5.8468019821e0,-4.7413004582e1,6.9987500000e-3,-2.3783696830e1,-1.8397379470e2,1.7725000000e-3,-5.5138715795e1,-4.5717210108e2,7.5750000000e-4
0.610000,-1.2714799681e0,-1.1013409616e1,3.1125000000e-2,-5.8405536203e0,-4.6639538458e1,7.0825000000e-3,-2.2174259840e1,-1.8097035197e2,1.8737500000e-3,-5.4375956480e1,-4.4970825704e2,7.6750000000e-4
0.615000,-1.3855563264e0,-1.0837270455e1,3.1532500000e-2,-5.9037752295e0,-4.5884859747e1,7.2025000000e-3,-2.2331608859e1,-1.7803986569e2,1.8725000000e-3,-5.5102881640e1,-4.4242571692e2,7.4625000000e-4
0.620000,-1.2629264909e0,-1.0665357314e1,3.2146250000e-2,-5.4579921496e0,-4.5148364850e1,7.3487500000e-3,-2.2195718961e1,-1.7517999196e2,1.9125000000e-3,-5.5527925144e1,-4.3531865587e2,7.5250000000e-4
0.625000,-1.3178263019e0,-1.0497535417e1,3.2463750000e-2,-5.3000743915e0,-4.4429474211e1,7.4937500000e-3,-2.0489846340e1,-1.7238848022e2,1.9862500000e-3,-5.2432447993e1,-4.2838148108e2,7.8250000000e-4
0.630000,-1.2946829384e0,-1.0333675315e1,3.2965000000e-2,-5.6328961842e0,-4.3727631183e1,7.5787500000e-3,-1.9977882407e1,-1.6966316889e2,2.0200000000e-3,-4.8939134265e1,-4.2160882080e2,8.4750000000e-4
0.635000,-1.2717042516e0,-1.0173652637e1,3.3911250000e-2,-5.2726322089e0,-4.3042300947e1,7.8012500000e-3,-2.1815495065e1,-1.6700198116e2,1.9700000000e-3,-5.0980666988e1,-4.1499551391e2,8.0375000000e-4
0.640000,-1.2115985458e0,-1.0017347855e1,3.4681250000e-2,-5.4651789101e0,-4.2372969493e1,7.7775000000e-3,-1.9104320926e1,-1.6440292100e2,2.0787500000e-3,-5.1353748630e1,-4.0853660012e2,8.2125000000e-4
0.645000,-1.2381635366e0,-9.8646460539e0,3.4528750000e-2,-5.2052513559e0,-4.1719142658e1,7.9900000000e-3,-1.9857773366e1,-1.6186406946e2,2.0737500000e-3,-4.9099372538e1,-4.0222731067e2,8.5625000000e-4
0.650000,-1.1546507400e0,-9.7154367238e0,3.5811250000e-2,-5.1077354951e0,-4.1080345208e1,8.1575000000e-3,-1.8915246777e1,-1.5938358112e2,2.1525000000e-3,-4.8449081235e1,-3.9606305947e2,8.4375000000e-4
0.655000,-1.1604141657e0,-9.5696135580e0,3.5828750000e-2,-5.2234269551e0,-4.0456119983e1,8.0637500000e-3,-1.9864026618e1,-1.5695968071e2,2.1412500000e-3,-5.0197088968e1,-3.9003943483e2,8.2750000000e-4
0.660000,-1.1899395141e0,-9.4270742624e0,3.6311250000e-2,-4.9333672454e0,-3.9846027072e1,8.3262500000e-3,-1.8913494194e1,-1.5459065996e2,2.1200000000e-3,-4.5640013814e1,-3.8415219152e2,9.0500000000e-4
0.665000,-1.1559642788e0,-9.2877203752e0,3.6931250000e-2,-4.9981493118e0,-3.9249643037e1,8.3875000000e-3,-1.8830001821e1,-1.5227487457e2,2.2225000000e-3,-4.4859168333e1,-3.7839724329e2,9.3125000000e-4
0.670000,-1.1707762783e0,-9.1514570962e0,3.7681250000e-2,-4.8927599129e0,-3.8666560185e1,8.5362500000e-3,-1.9500207716e1,-1.5001074137e2,2.1750000000e-3,-4.6191763843e1,-3.7277065582e2,9.0625000000e-4
0.675000,-1.1287372585e0,-9.0181931242e0,3.7982500000e-2,-4.9115874406e0,-3.8096385864e1,8.6175000000e-3,-1.8606135729e1,-1.4779673561e2,2.2150000000e-3,-4.5617023896e1,-3.6726863995e2,8.8125000000e-4
0.680000,-1.1283163010e0,-8.8878405037e0,3.9212500000e-2,-4.7679017158e0,-3.7538741806e1,8.9350000000e-3,-1.7844572688e1,-1.4563138838e2,2.2750000000e-3,-4.2073377644e1,-3.6188754531e2,9.6500000000e-4
0.685000,-1.0622906876e0,-8.7603144788e0,3.8972500000e-2,-4.6768576527e0,-3.6993263495e1,9.0287500000e-3,-1.7570180942e1,-1.4351328420e2,2.3162500000e-3,-4.6389214768e1,-3.5662385427e2,8.9125000000e-4
0.690000,-1.0433580129e0,-8.6355333544e0,3.9805000000e-2,-4.5876249520e0,-3.6459599578e1,9.2837500000e-3,-1.8013143249e1,-1.4144105868e2,2.2775000000e-3,-4.6454585422e1,-3.5147417619e2,9.1250000000e-4
0.695000,-9.8853261830e-1,-8.5134183647e0,4.0723750000e-2,-4.5517228859e0,-3.5937411292e1,9.3625000000e-3,-1.6264088195e1,-1.3941339632e2,2.4962500000e-3,-3.9009466570e1,-3.4643524195e2,1.0487500000e-3
0.700000,-1.0399471860e0,-8.3938935480e0,4.1010000000e-2,-4.4674402118e0,-3.5426371930e1,9.5787500000e-3,-1.6879610688e1,-1.3742902845e2,2.4587500000e-3,-4.1493597570e1,-3.4150389876e2,1.0012500000e-3
0.705000,-1.0620437956e0,-8.2768856280e0,4.1578750000e-2,-4.3440126222e0,-3.4926166331e1,9.5475000000e-3,-1.7075152843e1,-1.3548673122e2,2.4350000000e-3,-4.1661523025e1,-3.3667710525e2,9.9750000000e-4
0.710000,-1.0287661919e0,-8.1623239007e0,4.2540000000e-2,-4.2776463708e0,-3.4436490390e1,9.6287500000e-3,-1.6020275649e1,-1.3358532373e2,2.5075000000e-3,-3.9692534800e1,-3.3195192676e2,1.0075000000e-3
0.715000,-9.7621958865e-1,-8.0501401264e0,4.3193750000e-2,-4.3082205561e0,-3.3957050597e1,9.7137500000e-3,-1.5730656874e1,-1.3172366622e2,2.5362500000e-3,-4.0499946987e1,-3.2732553085e2,1.0125000000e-3
0.720000,-1.0110933018e0,-7.9402684282e0,4.3353750000e-2,-4.0982395988e0,-3.3487563600e1,1.0130000000e-2,-1.5840795262e1,-1.2990065836e2,2.5937500000e-3,-3.9969702589e1,-3.2279518313e2,1.0587500000e-3
0.725000,-9.7010806687e-1,-7.8326451940e0,4.4206250000e-2,-4.0795477943e0,-3.3027755784e1,1.0181250000e-2,-1.5107029852e1,-1.2811523764e2,2.6787500000e-3,-4.1174362000e1,-3.1835824315e2,9.8500000000e-4
0.730000,-9.3544950335e-1,-7.7272089837e0,4.4920000000e-2,-4.3020629723e0,-3.2577362870e1,1.0157500000e-2,-1.5669153348e1,-1.2636637781e2,2.7025000000e-3,-3.9985045998e1,-3.1401216058e2,1.0475000000e-3
0.735000,-9.9233763702e-1,-7.6239004412e0,4.5117500000e-2,-4.0137794845e0,-3.2136129538e1,1.0155000000e-2,-1.4903698975e1,-1.2465308741e2,2.7400000000e-3,-3.7759962370e1,-3.0975447152e2,1.0812500000e-3
