lambda,u4_qmc_eta10,u4_ed_eta10,x2_qmc_eta10,x2_ed_eta10,u4_qmc_eta50,u4_ed_eta50,x2_qmc_eta50,x2_ed_eta50,u4_qmc_eta200,u4_ed_eta200,x2_qmc_eta200,x2_ed_eta200,u4_qmc_eta500,u4_ed_eta500,x2_qmc_eta500,x2_ed_eta500
1.040000,5.0896316806e-2,4.9608490145e-2,1.3852708160e0,1.3848427595e0,3.1699071656e-3,3.9771703794e-3,1.0846970686e0,1.0841020466e0,4.2224161843e-4,2.9392315804e-4,1.0239431944e0,1.0214724313e0,6.5215965589e-5,4.8726824348e-5,1.0093070257e0,1.0086269725e0
1.060000,5.1710004489e-2,5.2480297758e-2,1.3982015484e0,1.4001392213e0,4.7626838280e-3,4.2667290040e-3,1.0855158040e0,1.0873719037e0,3.6801382629e-4,3.1667823948e-4,1.0223460679e0,1.0223063038e0,4.9001268588e-5,5.2549703574e-5,1.0080173768e0,1.0089619740e0
1.080000,5.8119699360e-2,5.5429187502e-2,1.4129352441e0,1.4157520161e0,4.4545269636e-3,4.5704209683e-3,1.0911835003e0,1.0907043493e0,4.2372400016e-4,3.4069930106e-4,1.0240027635e0,1.0231560649e0,4.0066316709e-5,5.6591147924e-5,1.0070562904e0,1.0093033569e0
1.100000,5.4386304485e-2,5.8453224284e-2,1.4288137530e0,1.4316823177e0,4.8945422024e-3,4.8885573965e-3,1.0950162076e0,1.0940994001e0,4.3895600537e-4,3.6602908865e-4,1.0245246886e0,1.0240217148e0,7.0635653368e-5,6.0859098259e-5,1.0096967360e0,1.0096511212e0
1.120000,6.2170402442e-2,6.1550372697e-2,1.4486446900e0,1.4479313004e0,4.7219735428e-3,5.2214421810e-3,1.1003387144e0,1.0975570728e0,4.0206982113e-4,3.9271076110e-4,1.0233952210e0,1.0249032539e0,1.1293279125e-4,6.5361615657e-5,1.0122805855e0,1.0100052668e0
1.140000,6.1094214259e-2,6.4718506289e-2,1.4666375142e0,1.4645001377e0,6.3200314253e-3,5.5693716306e-3,1.0996944903e0,1.1010773845e0,4.4318569648e-4,4.2078787163e-4,1.0245605217e0,1.0258006824e0,6.6066277592e-5,7.0106879919e-5,1.0092299785e0,1.0103657937e0
1.160000,6.9873389228e-2,6.7955416726e-2,1.4776927316e0,1.4813900016e0,5.9644618796e-3,5.9326341361e-3,1.1065396403e0,1.1046603524e0,4.3034915732e-4,4.5030434922e-4,1.0241209764e0,1.0267140007e0,1.4831208419e-4,7.5103188083e-5,1.0140002629e0,1.0107327021e0
1.180000,6.9608406459e-2,7.1258822812e-2,1.5004486029e0,1.4986020612e0,6.8753935133e-3,6.3115098532e-3,1.1105319134e0,1.1083059940e0,4.9713303509e-4,4.8130447981e-4,1.0259460692e0,1.0276432090e0,8.3377209079e-5,8.0358952892e-5,1.0105061955e0,1.0111059919e0
1.200000,7.5049480555e-2,7.4626379328e-2,1.5191665719e0,1.5161374815e0,6.6067449075e-3,6.7062704027e-3,1.1139062036e0,1.1120143270e0,4.6788362101e-4,5.1383288752e-4,1.0251496547e0,1.0285883078e0,1.0772056094e-4,8.5882701254e-5,1.0119578534e0,1.0114856632e0
1.220000,7.7944740696e-2,7.8055685644e-2,1.5320981371e0,1.5339974227e0,7.9630796746e-3,7.1171785885e-3,1.1186146682e0,1.1157853694e0,6.0839396199e-4,5.4793451567e-4,1.0289042790e0,1.0295492972e0,1.7186799087e-4,9.1683072692e-5,1.0151384009e0,1.0118717159e0
1.240000,7.6420658504e-2,8.1544294090e-2,1.5517362291e0,1.5521830391e0,7.0448599663e-3,7.5444881340e-3,1.1214213064e0,1.1196191392e0,7.3890562390e-4,5.8365460790e-4,1.0320487071e0,1.0305261777e0,1.4924336134e-4,9.7768817754e-5,1.0141476898e0,1.0122641501e0
1.260000,8.3507256366e-2,8.5089718048e-2,1.5678597772e0,1.5706954777e0,9.0783328906e-3,7.9884434361e-3,1.1221240660e0,1.1235156550e0,6.8551494172e-4,6.2103868915e-4,1.0307359758e0,1.0315189496e0,1.1658731576e-4,1.0414879643e-4,1.0124492274e0,1.0126629659e0
1.280000,9.1498265889e-2,8.8689439752e-2,1.5885662908e0,1.5895358774e0,9.1183772104e-3,8.4492793366e-3,1.1268959639e0,1.1274749352e0,6.9945623615e-4,6.6013254658e-4,1.0310002110e0,1.0325276132e0,1.3942142096e-4,1.1083197654e-4,1.0136425955e0,1.0130681631e0
1.300000,9.3117089368e-2,9.2340917770e-2,1.6038242767e0,1.6087053678e0,8.3191841441e-3,8.9272209129e-3,1.1314389078e0,1.1314969987e0,7.1995007186e-4,7.0098221055e-4,1.0314642248e0,1.0335521689e0,1.0870611201e-4,1.1782743208e-4,1.0119479678e0,1.0134797420e0
1.320000,9.5656823325e-2,9.6041594161e-2,1.6360284490e0,1.6282050683e0,9.1795081691e-3,9.4224832857e-3,1.1370521271e0,1.1355818644e0,9.3667925551e-4,7.4363393551e-4,1.0362106279e0,1.0345926170e0,9.4674591370e-5,1.2514434163e-4,1.0110733037e0,1.0138977024e0
1.340000,9.9440914881e-2,9.9788901290e-2,1.6478830661e0,1.6480360868e0,9.1459664367e-3,9.9352714445e-3,1.1382095228e0,1.1397295515e0,8.3015211160e-4,7.8813418096e-4,1.0339235179e0,1.0356489578e0,2.3652990572e-4,1.3279198663e-4,1.0177937761e0,1.0143220444e0
1.360000,1.0271715289e-1,1.0358026829e-1,1.6641920167e0,1.6681995190e0,9.4420449852e-3,1.0465780092e-2,1.1447973022e0,1.1439400794e0,9.8469092604e-4,8.3452959230e-4,1.0372766635e0,1.0367211918e0,1.4086762465e-4,1.4077974974e-4,1.0136499962e0,1.0147527680e0
1.380000,1.0399784184e-1,1.0741312719e-1,1.6816529019e0,1.6886964471e0,1.1370491259e-2,1.1014193503e-2,1.1506364085e0,1.1482134677e0,9.3175210969e-4,8.8286698183e-4,1.0360315182e0,1.0378093193e0,1.9676003623e-4,1.4911711316e-4,1.0162682361e0,1.0151898733e0
