lambda,gap,eta
7.167347,undefined,5000
7.167347,undefined,25000
7.268367,0.12085618081,50
7.268367,0.58960876959,200
7.268367,0.89973193214,1000
7.268367,undefined,5000
7.268367,undefined,25000
7.369388,0.11391519994,50
7.369388,0.58095431056,200
7.369388,0.89707497246,1000
7.369388,undefined,5000
7.369388,undefined,25000
7.470408,0.10728521644,50
7.470408,0.57231006484,200
7.470408,0.89438934879,1000
7.470408,undefined,5000
7.470408,undefined,25000
7.571429,0.10095863769,50
7.571429,0.56367938235,200
7.571429,0.89167536586,1000
7.571429,undefined,5000
7.571429,undefined,25000
7.672449,0.094927594927,50
7.672449,0.55506555461,200
7.672449,0.88893333095,1000
7.672449,undefined,5000
7.672449,undefined,25000
7.773469,0.089183984421,50
7.773469,0.54647181293,200
7.773469,0.88616355383,1000
7.773469,undefined,5000
7.773469,undefined,25000
7.87449,0.083719507178,50
7.87449,0.53790132671,200
7.87449,0.88336634673,1000
7.87449,undefined,5000
7.87449,undefined,25000
7.97551,0.07852570699,50
7.97551,0.52935720185,200
7.97551,0.88054202421,1000
7.97551,undefined,5000
7.97551,undefined,25000
8.076531,0.073594006814,50
8.076531,0.52084247918,200
8.076531,0.87769090322,1000
8.076531,undefined,5000
8.076531,undefined,25000
8.177551,0.068915743382,50
8.177551,0.51236013314,200
8.177551,0.87481330285,1000
8.177551,undefined,5000
8.177551,undefined,25000
8.278571,0.064482200002,50
8.278571,0.5039130703,200
8.278571,0.87190954451,1000
8.278571,undefined,5000
8.278571,undefined,25000
8.379592,0.060284637475,50
8.379592,0.49550412821,200
8.379592,0.86897995167,1000
8.379592,undefined,5000
8.379592,undefined,25000
8.480612,0.05631432316,50
8.480612,0.48713607422,200
8.480612,0.86602484994,1000
8.480612,undefined,5000
8.480612,undefined,25000
8.581633,0.052562558108,50
8.581633,0.47881160439,200
8.581633,0.86304456686,1000
8.581633,undefined,5000
8.581633,undefined,25000
8.682653,0.049020702286,50
8.682653,0.47053334254,200
8.682653,0.86003943198,1000
8.682653,undefined,5000
8.682653,undefined,25000
8.783673,0.04568019792,50
8.783673,0.46230383934,200
8.783673,0.85700977679,1000
8.783673,undefined,5000
8.783673,undefined,25000
8.884694,0.042532590933,50
8.884694,0.45412557151,200
8.884694,0.85395593453,1000
8.884694,undefined,5000
8.884694,undefined,25000
8.985714,0.039569550523,50
8.985714,0.44600094113,200
8.985714,0.85087824028,1000
8.985714,undefined,5000
8.985714,undefined,25000
9.086735,0.036782886926,50
9.086735,0.43793227502,200
9.086735,0.84777703082,1000
9.086735,undefined,5000
9.086735,undefined,25000
9.187755,0.034164567374,50
9.187755,0.42992182415,200
9.187755,0.84465264452,1000
9.187755,undefined,5000
9.187755,undefined,25000
9.288776,0.031706730339,50
9.288776,0.42197176326,200
9.288776,0.84150542144,1000
9.288776,undefined,5000
9.288776,undefined,25000
9.389796,0.029401698079,50
9.389796,0.41408419046,200
9.389796,0.83833570315,1000
9.389796,undefined,5000
9.389796,undefined,25000
9.490816,0.027241987578,50
9.490816,0.40626112696,200
9.490816,0.83514383262,1000
9.490816,undefined,5000
9.490816,undefined,25000
9.591837,0.025220319918,50
9.591837,0.39850451685,200
9.591837,0.83193015436,1000
9.591837,undefined,5000
9.591837,undefined,25000
9.692857,0.023329628148,50
9.692857,0.39081622705,200
9.692857,0.82869501405,1000
9.692857,undefined,5000
9.692857,undefined,25000
9.793878,0.021563063798,50
9.793878,0.38319804717,200
9.793878,0.82543875879,1000
9.793878,undefined,5000
9.793878,undefined,25000
9.894898,0.019914001977,50
9.894898,0.37565168966,200
9.894898,0.82216173689,1000
9.894898,undefined,5000
9.894898,undefined,25000
9.995918,0.018376045256,50
9.995918,0.36817878984,200
9.995918,0.81886429776,1000
9.995918,undefined,5000
9.995918,undefined,25000
10.096939,0.016943026347,50
10.096939,0.3607809062,200
10.096939,0.81554679198,1000
10.096939,undefined,5000
10.096939,undefined,25000
10.197959,0.015609009693,50
10.197959,0.35345952055,200
10.197959,0.81220957113,1000
10.197959,undefined,5000
10.197959,undefined,25000
10.29898,0.01436829197,50
10.29898,0.34621603846,200
10.29898,0.80885298775,1000
10.29898,undefined,5000
10.29898,undefined,25000
10.4,0.013215401733,50
10.4,0.33905178963,200
10.4,0.80547739534,1000
10.4,undefined,5000
10.4,undefined,25000
10.50102,0.012145098091,50
10.50102,0.33196802834,200
10.50102,0.80208314824,1000
10.50102,undefined,5000
10.50102,undefined,25000
10.602041,0.011152368626,50
10.602041,0.32496593408,200
10.602041,0.79867060159,1000
10.602041,undefined,5000
10.602041,undefined,25000
10.703061,0.010232426608,50
10.703061,0.31804661208,200
10.703061,0.79524011122,1000
10.703061,undefined,5000
10.703061,undefined,25000
10.804082,0.009380707482,50
10.804082,0.31121109402,200
10.804082,0.79179203371,1000
10.804082,undefined,5000
10.804082,undefined,25000
10.905102,0.008592864891,50
10.905102,0.30446033876,200
10.905102,0.78832672616,1000
10.905102,undefined,5000
10.905102,undefined,25000
11.006122,0.007864766024,50
11.006122,0.29779523314,200
11.006122,0.78484454629,1000
11.006122,undefined,5000
11.006122,undefined,25000
11.107143,0.0071924866711,50
11.107143,0.2912165928,200
11.107143,0.78134585226,1000
11.107143,undefined,5000
11.107143,undefined,25000
11.208163,0.0065723057532,50
11.208163,0.28472516308,200
11.208163,0.77783100272,1000
11.208163,undefined,5000
11.208163,undefined,25000
11.309184,0.0060006996364,50
11.309184,0.27832162002,200
11.309184,0.77430035663,1000
11.309184,undefined,5000
11.309184,undefined,25000
11.410204,0.0054743360481,50
11.410204,0.27200657129,200
11.410204,0.77075427329,1000
11.410204,undefined,5000
11.410204,undefined,25000
11.511224,0.0049900678943,50
11.511224,0.26578055731,200
11.511224,0.7671931122,1000
11.511224,undefined,5000
11.511224,undefined,25000
11.612245,0.0045449267971,50
11.612245,0.25964405227,200
11.612245,0.76361723311,1000
11.612245,undefined,5000
11.612245,undefined,25000
11.713265,0.0041361165382,50
11.713265,0.25359746528,200
11.713265,0.76002699587,1000
11.713265,undefined,5000
11.713265,undefined,25000
11.814286,0.0037610064497,50
11.814286,0.24764114158,200
11.814286,0.75642276038,1000
11.814286,undefined,5000
11.814286,undefined,25000
11.915306,0.0034171246885,50
11.915306,0.24177536375,200
11.915306,0.75280488662,1000
11.915306,undefined,5000
11.915306,undefined,25000
12.016327,0.0031021515449,50
12.016327,0.23600035288,200
12.016327,0.74917373443,1000
12.016327,undefined,5000
12.016327,undefined,25000
12.117347,0.0028139127897,50
12.117347,0.23031626991,200
12.117347,0.74552966365,1000
12.117347,undefined,5000
12.117347,undefined,25000
12.218367,0.0025503729532,50
12.218367,0.22472321695,200
12.218367,0.74187303379,1000
12.218367,undefined,5000
12.218367,undefined,25000
12.319388,0.002309628835,50
12.319388,0.21922123854,200
12.319388,0.73820420433,1000
12.319388,undefined,5000
12.319388,undefined,25000
12.420408,0.0020899029882,50
12.420408,0.2138103231,200
12.420408,0.73452353436,1000
12.420408,undefined,5000
12.420408,undefined,25000
12.521429,0.0018895374381,50
12.521429,0.20849040426,200
12.521429,0.73083138263,1000
12.521429,undefined,5000
12.521429,undefined,25000
12.622449,0.0017069873891,50
