lambda,gap,eta
41.110204,undefined,5000
41.110204,undefined,25000
41.211224,1.4551915228e-11,50
41.211224,4.2060491978e-8,200
41.211224,0.033482579812,1000
41.211224,undefined,5000
41.211224,undefined,25000
41.312245,5.4569682106e-12,50
41.312245,3.870945875e-8,200
41.312245,0.032928949387,1000
41.312245,undefined,5000
41.312245,undefined,25000
41.413265,2.9558577808e-12,50
41.413265,3.563059181e-8,200
41.413265,0.032383151165,1000
41.413265,undefined,5000
41.413265,undefined,25000
41.514286,5.6843418861e-12,50
41.514286,3.27527232e-8,200
41.514286,0.031845099592,1000
41.514286,undefined,5000
41.514286,undefined,25000
41.615306,8.8675733423e-12,50
41.615306,3.0111323213e-8,200
41.615306,0.031314709575,1000
41.615306,undefined,5000
41.615306,undefined,25000
41.716327,8.4128259914e-12,50
41.716327,2.7674559533e-8,200
41.716327,0.030791896351,1000
41.716327,undefined,5000
41.716327,undefined,25000
41.817347,4.092726158e-12,50
41.817347,2.5440840545e-8,200
41.817347,0.030276575848,1000
41.817347,undefined,5000
41.817347,undefined,25000
41.918367,4.5474735089e-13,50
41.918367,2.3390157367e-8,200
41.918367,0.02976866426,1000
41.918367,undefined,5000
41.918367,undefined,25000
42.019388,2.5011104299e-12,50
42.019388,2.1496816771e-8,200
42.019388,0.029268078562,1000
42.019388,undefined,5000
42.019388,undefined,25000
42.120408,1.0913936421e-11,50
42.120408,1.9727849576e-8,200
42.120408,0.028774736077,1000
42.120408,undefined,5000
42.120408,undefined,25000
42.221429,4.7748471843e-12,50
42.221429,1.8135779101e-8,200
42.221429,0.02828855449,1000
42.221429,undefined,5000
42.221429,undefined,25000
42.322449,3.8653524825e-12,50
42.322449,1.6638296074e-8,200
42.322449,0.027809452272,1000
42.322449,undefined,5000
42.322449,undefined,25000
42.423469,1.1368683772e-11,50
42.423469,1.5271325537e-8,200
42.423469,0.027337348346,1000
42.423469,undefined,5000
42.423469,undefined,25000
42.52449,2.5011104299e-12,50
42.52449,1.4012357497e-8,200
42.52449,0.02687216208,1000
42.52449,undefined,5000
42.52449,undefined,25000
42.62551,5.0022208598e-12,50
42.62551,1.2870941646e-8,200
42.62551,0.026413813416,1000
42.62551,undefined,5000
42.62551,undefined,25000
42.726531,6.3664629124e-12,50
42.726531,1.1787051335e-8,200
42.726531,0.02596222283,1000
42.726531,undefined,5000
42.726531,undefined,25000
42.827551,1.3642420527e-12,50
42.827551,1.0849362297e-8,200
42.827551,0.025517311294,1000
42.827551,undefined,5000
42.827551,undefined,25000
42.928571,1.4779288904e-11,50
42.928571,9.9282715382e-9,200
42.928571,0.025079000415,1000
42.928571,undefined,5000
42.928571,undefined,25000
43.029592,9.0949470177e-13,50
43.029592,9.1235961008e-9,200
43.029592,0.024647212283,1000
43.029592,undefined,5000
43.029592,undefined,25000
43.130612,3.1832314562e-12,50
43.130612,8.3612121671e-9,200
43.130612,0.024221869481,1000
43.130612,undefined,5000
43.130612,undefined,25000
43.231633,1.3642420527e-12,50
43.231633,7.6388460002e-9,200
43.231633,0.023802895329,1000
43.231633,undefined,5000
43.231633,undefined,25000
43.332653,2.7284841053e-12,50
43.332653,7.0037913247e-9,200
43.332653,0.023390213472,1000
43.332653,undefined,5000
43.332653,undefined,25000
43.433673,3.8653524825e-12,50
43.433673,6.441723599e-9,200
43.433673,0.022983748205,1000
43.433673,undefined,5000
43.433673,undefined,25000
43.534694,2.2737367544e-13,50
43.534694,5.85532689e-9,200
43.534694,0.022583424461,1000
43.534694,undefined,5000
43.534694,undefined,25000
43.635714,1.4779288904e-11,50
43.635714,5.3973963077e-9,200
43.635714,0.022189167645,1000
43.635714,undefined,5000
43.635714,undefined,25000
43.736735,7.5033312896e-12,50
43.736735,4.922867447e-9,200
43.736735,0.021800903733,1000
43.736735,undefined,5000
43.736735,undefined,25000
43.837755,3.4106051316e-12,50
43.837755,4.4926764531e-9,200
43.837755,0.021418559308,1000
43.837755,undefined,5000
43.837755,undefined,25000
43.938776,1.2505552149e-11,50
43.938776,4.1341081669e-9,200
43.938776,0.02104206145,1000
43.938776,undefined,5000
43.938776,undefined,25000
44.039796,1.0913936421e-11,50
44.039796,3.7653080653e-9,200
44.039796,0.020671338001,1000
44.039796,undefined,5000
44.039796,undefined,25000
44.140816,3.1832314562e-12,50
44.140816,3.436298357e-9,200
44.140816,0.020306316932,1000
44.140816,undefined,5000
44.140816,undefined,25000
44.241837,3.1832314562e-12,50
44.241837,3.1707259041e-9,200
44.241837,0.019946927354,1000
44.241837,undefined,5000
44.241837,undefined,25000
44.342857,5.2295945352e-12,50
44.342857,2.8869635571e-9,200
44.342857,0.019593098591,1000
44.342857,undefined,5000
44.342857,undefined,25000
44.443878,3.8653524825e-12,50
44.443878,2.6379893825e-9,200
44.443878,0.019244760565,1000
44.443878,undefined,5000
44.443878,undefined,25000
44.544898,6.5938365879e-12,50
44.544898,2.3997017706e-9,200
44.544898,0.018901843964,1000
44.544898,undefined,5000
44.544898,undefined,25000
44.645918,1.4324541553e-11,50
44.645918,2.194155968e-9,200
44.645918,0.018564279792,1000
44.645918,undefined,5000
44.645918,undefined,25000
44.746939,1.5006662579e-11,50
44.746939,2.0227162167e-9,200
44.746939,0.018231999944,1000
44.746939,undefined,5000
44.746939,undefined,25000
44.847959,7.9580786405e-12,50
44.847959,1.7985257728e-9,200
44.847959,0.017904936643,1000
44.847959,undefined,5000
44.847959,undefined,25000
44.94898,5.2295945352e-12,50
44.94898,1.674379746e-9,200
44.94898,0.017583022698,1000
44.94898,undefined,5000
44.94898,undefined,25000
45.05,4.3200998334e-12,50
45.05,1.5156729205e-9,200
45.05,0.0172661916,1000
45.05,undefined,5000
45.05,undefined,25000
45.15102,6.5938365879e-12,50
45.15102,1.3953922462e-9,200
45.15102,0.016954377519,1000
45.15102,undefined,5000
45.15102,undefined,25000
45.252041,1.045918907e-11,50
45.252041,1.2835243979e-9,200
45.252041,0.016647514952,1000
45.252041,undefined,5000
45.252041,undefined,25000
45.353061,8.185452316e-12,50
45.353061,1.1641532183e-9,200
45.353061,0.016345539101,1000
45.353061,undefined,5000
45.353061,undefined,25000
45.454082,1.1368683772e-11,50
45.454082,1.1023075785e-9,200
45.454082,0.016048385892,1000
45.454082,undefined,5000
45.454082,undefined,25000
45.555102,1.1823431123e-11,50
45.555102,9.9453245639e-10,200
45.555102,0.015755991372,1000
45.555102,undefined,5000
45.555102,undefined,25000
45.656122,1.4551915228e-11,50
45.656122,9.1813490144e-10,200
45.656122,0.015468292998,1000
45.656122,undefined,5000
45.656122,undefined,25000
45.757143,2.1827872843e-11,50
45.757143,8.1990947365e-10,200
45.757143,0.01518522786,1000
45.757143,undefined,5000
45.757143,undefined,25000
45.858163,3.3196556615e-11,50
45.858163,7.5260686572e-10,200
45.858163,0.014906734203,1000
45.858163,undefined,5000
45.858163,undefined,25000
45.959184,1.7735146685e-11,50
45.959184,6.4619598561e-10,200
45.959184,0.014632750781,1000
45.959184,undefined,5000
45.959184,undefined,25000
46.060204,3.1832314562e-11,50
46.060204,6.2391336542e-10,200
46.060204,0.014363216846,1000
46.060204,undefined,5000
46.060204,undefined,25000
46.161224,3.592504072e-11,50
46.161224,5.2750692703e-10,200
46.161224,0.014098072066,1000
46.161224,undefined,5000
46.161224,undefined,25000
46.262245,4.2291503632e-11,50
46.262245,4.7566572903e-10,200
46.262245,0.013837257107,1000
46.262245,undefined,5000
46.262245,undefined,25000
46.363265,5.638867151e-11,50
46.363265,4.5292836148e-10,200
46.363265,0.013580712734,1000
46.363265,undefined,5000
46.363265,undefined,25000
46.464286,5.9571902966e-11,50
46.464286,3.8471625885e-10,200
46.464286,0.013328380749,1000
46.464286,undefined,5000
46.464286,undefined,25000
46.565306,5.1841198001e-11,50
46.565306,4.1472958401e-10,200
46.565306,0.013080203178,1000
46.565306,undefined,5000
46.565306,undefined,25000
46.666327,8.230927051e-11,50
46.666327,3.7789504859e-10,200
46.666327,0.012836122679,1000
46.666327,undefined,5000
46.666327,undefined,25000
46.767347,8.9585228125e-11,50
46.767347,3.3060132409e-10,200
46.767347,0.012596082725,1000
46.767347,undefined,5000
46.767347,undefined,25000
46.868367,9.4132701633e-11,50
46.868367,2.7011992643e-10,200
46.868367,0.012360026958,1000
46.868367,undefined,5000
46.868367,undefined,25000
46.969388,1.2096279534e-10,50
46.969388,2.7330315788e-10,200
46.969388,0.012127899919,1000
46.969388,undefined,5000
46.969388,undefined,25000
47.070408,1.2050804798e-10,50
47.070408,2.6602720027e-10,200
47.070408,0.011899646588,1000
47.070408,undefined,5000
47.070408,undefined,25000
47.171429,1.3233147911e-10,50
47.171429,2.046363079e-10,200
47.171429,0.011675212437,1000
47.171429,undefined,5000
47.171429,undefined,25000
47.272449,1.6007106751e-10,50
47.272449,1.7234924599e-10,200
47.272449,0.011454543699,1000
47.272449,undefined,5000
47.272449,undefined,25000
47.373469,1.9690560293e-10,50
47.373469,1.5052137314e-10,200
47.373469,0.011237587022,1000
47.373469,undefined,5000
47.373469,undefined,25000
47.47449,2.2737367544e-10,50
47.47449,1.5961632016e-10,200
47.47449,0.011024289612,1000
47.47449,undefined,5000
47.47449,undefined,25000
47.57551,2.4874680093e-10,50
47.57551,1.5916157281e-10,200
47.57551,0.010814599264,1000
47.57551,undefined,5000
47.57551,undefined,25000
47.676531,2.8694557841e-10,50
47.676531,1.1732481653e-10,200
47.676531,0.010608464258,1000
47.676531,undefined,5000
47.676531,undefined,25000
47.777551,3.1468516681e-10,50
47.777551,9.7770680441e-11,200
47.777551,0.010405833752,1000
47.777551,undefined,5000
47.777551,undefined,25000
47.878571,3.6470737541e-10,50
47.878571,1.0413714335e-10,200
47.878571,0.010206656882,1000
47.878571,undefined,5000
47.878571,undefined,25000
47.979592,4.1472958401e-10,50
47.979592,1.000444172e-10,200
47.979592,0.010010883792,1000
47.979592,undefined,5000
47.979592,undefined,25000
48.080612,4.8112269724e-10,50
48.080612,7.68523023e-11,200
48.080612,0.0098184649978,1000
48.080612,undefined,5000
48.080612,undefined,25000
48.181633,5.2568793762e-10,50
48.181633,9.9134922493e-11,200
48.181633,0.0096293516608,1000
48.181633,undefined,5000
48.181633,undefined,25000
48.282653,5.9890226112e-10,50
48.282653,4.1382008931e-11,200
48.282653,0.009443495293,1000
48.282653,undefined,5000
48.282653,undefined,25000
48.383673,7.0076566772e-10,50
48.383673,7.8671291703e-11,200
48.383673,0.0092608480254,1000
48.383673,undefined,5000
48.383673,undefined,25000
48.484694,7.7261574916e-10,50
48.484694,7.0031092037e-11,200
48.484694,0.0090813627712,1000
48.484694,undefined,5000
48.484694,undefined,25000
48.585714,8.7447915575e-10,50
48.585714,6.8212102633e-11,200
48.585714,0.0089049925873,1000
48.585714,undefined,5000
48.585714,undefined,25000
48.686735,9.8771124613e-10,50
48.686735,5.638867151e-11,200
48.686735,0.0087316912482,1000
48.686735,undefined,5000
48.686735,undefined,25000
48.787755,1.0950316209e-9,50
48.787755,4.8203219194e-11,200
48.787755,0.0085614131158,1000
48.787755,undefined,5000
48.787755,undefined,25000
48.888776,1.2369127944e-9,50
48.888776,3.9108272176e-11,200
48.888776,0.0083941127873,1000
48.888776,undefined,5000
48.888776,undefined,25000
48.989796,1.3642420527e-9,50
48.989796,3.7744030124e-11,200
48.989796,0.0082297458803,1000
48.989796,undefined,5000
48.989796,undefined,25000
49.090816,1.5302248357e-9,50
49.090816,5.138645065e-11,200
49.090816,0.0080682681082,1000
49.090816,undefined,5000
49.090816,undefined,25000
49.191837,1.7039383238e-9,50
49.191837,4.4110493036e-11,200
49.191837,0.007909635854,1000
49.191837,undefined,5000
49.191837,undefined,25000
49.292857,1.9053914002e-9,50
49.292857,2.2737367544e-11,200
49.292857,0.0077538059659,1000
49.292857,undefined,5000
49.292857,undefined,25000
49.393878,2.125489118e-9,50
49.393878,3.4560798667e-11,200
49.393878,0.007600735888,1000
49.393878,undefined,5000
49.393878,undefined,25000
49.494898,2.3746906663e-9,50
49.494898,8.185452316e-12,200
49.494898,0.0074503835058,1000
49.494898,undefined,5000
49.494898,undefined,25000
49.595918,2.6343514037e-9,50
49.595918,3.1832314562e-11,200
49.595918,0.0073027070766,1000
49.595918,undefined,5000
49.595918,undefined,25000
49.696939,2.9176590033e-9,50
49.696939,5.4569682106e-12,200
49.696939,0.0071576655778,1000
49.696939,undefined,5000
49.696939,undefined,25000
49.797959,3.2450770959e-9,50
49.797959,2.7739588404e-11,200
49.797959,0.0070152186231,1000
49.797959,undefined,5000
49.797959,undefined,25000
49.89898,3.5997800296e-9,50
49.89898,3.4106051316e-11,200
49.89898,0.0068753256578,1000
49.89898,undefined,5000
49.89898,undefined,25000
50,3.9663063944e-9,50
50,2.5011104299e-11,200
50,0.0067379474685,1000
50,undefined,5000
50,undefined,25000
