lambda,ntilde_eta50,sigmaz_eta50,x2_eta50,u4x_eta50,gap_eta50,cv_eta50,ntilde_eta200,sigmaz_eta200,x2_eta200,u4x_eta200,gap_eta200,cv_eta200,ntilde_eta1000,sigmaz_eta1000,x2_eta1000,u4x_eta1000,gap_eta1000,cv_eta1000
3.126531,9.6235455454e0,-4.0722561374e-1,1.7728729671e0,1.2623876261e-1,6.7632739535e-1,2.9866233638e-1,9.7119700142e0,-6.5345247670e-1,1.1945544688e0,1.7657586799e-2,9.0687201700e-1,3.9651694964e-1,9.7607785583e0,-7.3879541809e-1,1.0390575199e0,9.4165521483e-4,9.8063946371e-1,4.1589115299e-1
3.227551,1.0262485336e1,-3.8991791816e-1,1.8240459472e0,1.3559132656e-1,6.5918283053e-1,2.8944589095e-1,1.0350399113e1,-6.4679223177e-1,1.2073403063e0,1.9632497930e-2,9.0106942763e-1,3.9473547961e-1,1.0401754585e1,-7.3731664213e-1,1.0416223392e0,1.0641294495e-3,9.7938134118e-1,4.1561149350e-1
3.328571,1.0922352080e1,-3.7274235480e-1,1.8768828595e0,1.4503663613e-1,6.4194874260e-1,2.7997509340e-1,1.1009211317e1,-6.3997623425e-1,1.2205339417e0,2.1733288502e-2,8.9512125072e-1,3.9287044040e-1,1.1063115840e1,-7.3579320426e-1,1.0442687246e0,1.1976553143e-3,9.7808490606e-1,4.1532148447e-1
3.429592,1.1603155115e1,-3.5574383634e-1,1.9313842578e0,1.5454566837e-1,6.2465522319e-1,2.7028122003e-1,1.1688412971e1,-6.3300955045e-1,1.2341354688e0,2.3960175132e-2,8.8903086736e-1,3.9092010816e-1,1.1744862550e1,-7.3422532498e-1,1.0469966766e0,1.3427846585e-3,9.7675031479e-1,4.1502099534e-1
3.530612,1.2304899553e1,-3.3896541154e-1,1.9875504485e0,1.6409119965e-1,6.0733170759e-1,2.6039800308e-1,1.2388010816e1,-6.2589736453e-1,1.2481449893e0,2.6312934049e-2,8.8280172272e-1,3.8888282770e-1,1.2446994673e1,-7.3261323193e-1,1.0498061948e0,1.5000697920e-3,9.7537772830e-1,4.1470989256e-1
3.631633,1.3027585870e1,-3.2244802376e-1,2.0453814715e0,1.7364788613e-1,5.9000689795e-1,2.5036124942e-1,1.3108011761e1,-6.1864497639e-1,1.2625626081e0,2.8790915516e-2,8.7643732287e-1,3.8675702257e-1,1.3169513231e1,-7.3095715729e-1,1.0526972828e0,1.6700626861e-3,9.7396731200e-1,4.1438803961e-1
3.732653,1.3771209859e1,-3.0623026375e-1,2.1048770637e0,1.8319231539e-1,5.7270869147e-1,2.4020841598e-1,1.3848422129e1,-6.1125780379e-1,1.2773884183e0,3.1393058824e-2,8.6994123142e-1,3.8454120528e-1,1.3912418274e1,-7.2925734166e-1,1.0556699404e0,1.8533134272e-3,9.7251923564e-1,4.1405529711e-1
3.833673,1.4535763434e1,-2.9034814455e-1,2.1660367516e0,1.9270302212e-1,5.5546411383e-1,2.2997815080e-1,1.4609248850e1,-6.0374136720e-1,1.2926225253e0,3.4117916218e-2,8.6331706631e-1,3.8223398736e-1,1.4675710422e1,-7.2751403111e-1,1.0587241697e0,2.0503694982e-3,9.7103367335e-1,4.1371152290e-1
3.934694,1.5321233486e1,-2.7483493263e-1,2.2288597395e0,2.0216045702e-1,5.3829925812e-1,2.1970981061e-1,1.5390498547e1,-5.9610129276e-1,1.3082650283e0,3.6963671398e-2,8.5656849636e-1,3.7983408951e-1,1.5459389464e1,-7.2572747980e-1,1.0618599695e0,2.2617743738e-3,9.6951080357e-1,4.1335657219e-1
4.035714,1.6127603642e1,-2.5972094784e-1,2.2933450493e0,2.1154696454e-1,5.2123922922e-1,2.0944296566e-1,1.6192177688e1,-5.8834330581e-1,1.3243160237e0,3.9928163079e-2,8.4969923797e-1,3.7734035153e-1,1.6263456561e1,-7.2389794577e-1,1.0650773440e0,2.4880670768e-3,9.6795080904e-1,4.1299029761e-1
