lambda,ntilde_eta50,sigmaz_eta50,x2_eta50,u4x_eta50,gap_eta50,cv_eta50,ntilde_eta200,sigmaz_eta200,x2_eta200,u4x_eta200,gap_eta200,cv_eta200,ntilde_eta1000,sigmaz_eta1000,x2_eta1000,u4x_eta1000,gap_eta1000,cv_eta1000
3.328571,1.1038190564e1,-1.1144128001e-1,1.8838327964e0,1.4661295918e-1,6.4194874260e-1,2.5103993423e-2,1.1058184719e1,-1.9797106053e-1,1.2212685377e0,2.1874222114e-2,8.9512125072e-1,4.7651266238e-2,1.1074222794e1,-2.3455012713e-1,1.0443020454e0,1.1996581702e-3,9.7808490606e-1,5.6353526597e-2
3.429592,1.1720568578e1,-1.0625823611e-1,1.9384287093e0,1.5611317077e-1,6.2465522319e-1,2.3801947774e-2,1.1739888254e1,-1.9538982937e-1,1.2349075929e0,2.4112562509e-2,8.8903086736e-1,4.7036450432e-2,1.1756631683e1,-2.3392551027e-1,1.0470319840e0,1.3450209317e-3,9.7675031479e-1,5.6208829730e-2
3.530612,1.2423490650e1,-1.0118687837e-1,1.9946655762e0,1.6564181274e-1,6.0733170759e-1,2.2529856866e-2,1.2442003659e1,-1.9276641834e-1,1.2489548767e0,2.6476986576e-2,8.8280172272e-1,4.6411112844e-2,1.2459443219e1,-2.3328392845e-1,1.0498435404e0,1.5025574091e-3,9.7537772830e-1,5.6060170323e-2
3.631633,1.3146954491e1,-9.6236415972e-2,2.0525432683e0,1.7517418514e-1,5.9000689795e-1,2.1290192873e-2,1.3164533201e1,-1.9010343797e-1,1.2634104242e0,2.8966792907e-2,8.7643732287e-1,4.5775855598e-2,1.3182658004e1,-2.3262552705e-1,1.0527367171e0,1.6728201108e-3,9.7396731200e-1,5.5907579677e-2
3.732653,1.3890956736e1,-9.1415024234e-2,2.1120615757e0,1.8468757428e-1,5.7270869147e-1,2.0085150767e-2,1.3907478702e1,-1.8740351501e-1,1.2782742614e0,3.1580868631e-2,8.6994123142e-1,4.5131285640e-2,1.3926275950e1,-2.3195045635e-1,1.0557115134e0,1.8563596951e-3,9.7251923564e-1,5.5751089881e-2
3.833673,1.4655493511e1,-8.6729844674e-2,2.1732202744e0,1.9416124895e-1,5.5546411383e-1,1.8916647433e-2,1.4670842388e1,-1.8466928071e-1,1.2935464227e0,3.4317712654e-2,8.6331706631e-1,4.4478013813e-2,1.4690297366e1,-2.3125886939e-1,1.0587679305e0,2.0537241469e-3,9.7103367335e-1,5.5590733806e-2
3.934694,1.5440559500e1,-8.2187016504e-2,2.2360190383e0,2.0357641552e-1,5.3829925812e-1,1.7786323130e-2,1.5454626248e1,-1.8190337218e-1,1.3092269379e0,3.7175455532e-2,8.5656849636e-1,4.3816653916e-2,1.5474721972e1,-2.3055092383e-1,1.0619059670e0,2.2654574740e-3,9.6951080357e-1,5.5426545098e-2
4.035714,1.6246149167e1,-7.7791670851e-2,2.3004575379e0,2.1291617570e-1,5.2123922922e-1,1.6695545184e-2,1.6258832141e1,-1.7910842723e-1,1.3253158346e0,4.0151883360e-2,8.4969923797e-1,4.3147821778e-2,1.6279550456e1,-2.2982677888e-1,1.0651256257e0,2.4920990918e-3,9.6795080904e-1,5.5258558165e-2
4.136735,1.7072255911e1,-7.3547977269e-2,2.3665353700e0,2.2216544184e-1,5.0430809389e-1,1.5645413771e-2,1.7083462151e1,-1.7628707724e-1,1.3418131449e0,4.3244463730e-2,8.4271305170e-1,4.2472134318e-2,1.7104782739e1,-2.2908659858e-1,1.0684269059e0,2.7341823585e-3,9.6635387674e-1,5.5086808165e-2
4.237755,1.7918872927e1,-6.9459159254e-2,2.4342521258e0,2.3131085998e-1,4.8752883657e-1,1.4636769639e-2,1.7928517999e1,-1.7344194801e-1,1.3587188940e0,4.6450368994e-2,8.3561373884e-1,4.1790208620e-2,1.7950418835e1,-2.2833055008e-1,1.0718098076e0,2.9922338212e-3,9.6472019791e-1,5.4911331001e-2
