lambda,n_omega50,n_over_eta_omega50,n_omega100,n_over_eta_omega100,n_omega500,n_over_eta_omega500,n_omega1000,n_over_eta_omega1000
1.31578947,0.0333677763,0.0006673555,0.0169832464,0.0001698325,0.0034488903,0.0000068978,0.0017278564,0.0000017279
1.34060150,0.0346413857,0.0006928277,0.0176302381,0.0001763024,0.0035801921,0.0000071604,0.0017936362,0.0000017936
1.36541353,0.0359390245,0.0007187805,0.0182893489,0.0001828935,0.0037139478,0.0000074279,0.0018606448,0.0000018606
1.39022556,0.0372607102,0.0007452142,0.0189605820,0.0001896058,0.0038501573,0.0000077003,0.0019288826,0.0000019289
1.41503759,0.0386064533,0.0007721291,0.0196439344,0.0001964393,0.0039888193,0.0000079776,0.0019983488,0.0000019983
1.43984962,0.0399762668,0.0007995253,0.0203394137,0.0002033941,0.0041299348,0.0000082599,0.0020690438,0.0000020690
1.46466165,0.0413701615,0.0008274032,0.0210470181,0.0002104702,0.0042735028,0.0000085470,0.0021409680,0.0000021410
1.48947368,0.0427881585,0.0008557632,0.0217667485,0.0002176675,0.0044195249,0.0000088390,0.0022141203,0.0000022141
1.51428571,0.0442302570,0.0008846051,0.0224986143,0.0002249861,0.0045679986,0.0000091360,0.0022885029,0.0000022885
1.53909774,0.0456964849,0.0009139297,0.0232426095,0.0002324261,0.0047189266,0.0000094379,0.0023641131,0.0000023641
1.56390977,0.0471868411,0.0009437368,0.0239987377,0.0002399874,0.0048723090,0.0000097446,0.0024409533,0.0000024410
1.58872180,0.0487013519,0.0009740270,0.0247670025,0.0002476700,0.0050281434,0.0000100563,0.0025190219,0.0000025190
1.61353383,0.0502400274,0.0010048005,0.0255474062,0.0002554741,0.0051864314,0.0000103729,0.0025983194,0.0000025983
1.63834586,0.0518028768,0.0010360575,0.0263399483,0.0002633995,0.0053471730,0.0000106943,0.0026788451,0.0000026788
1.66315789,0.0533899183,0.0010677984,0.0271446322,0.0002714463,0.0055103676,0.0000110207,0.0027606009,0.0000027606
1.68796992,0.0550011615,0.0011000232,0.0279614602,0.0002796146,0.0056760161,0.0000113520,0.0028435853,0.0000028436
1.71278195,0.0566366259,0.0011327325,0.0287904357,0.0002879044,0.0058441171,0.0000116882,0.0029277974,0.0000029278
1.73759398,0.0582963171,0.0011659263,0.0296315555,0.0002963156,0.0060146700,0.0000120293,0.0030132392,0.0000030132
1.76240602,0.0599802599,0.0011996052,0.0304848284,0.0003048483,0.0061876801,0.0000123754,0.0030999109,0.0000030999
1.78721805,0.0616884624,0.0012337692,0.0313502519,0.0003135025,0.0063631417,0.0000127263,0.0031878099,0.0000031878
1.81203008,0.0634209420,0.0012684188,0.0322278303,0.0003222783,0.0065410571,0.0000130821,0.0032769387,0.0000032769
1.83684211,0.0651777090,0.0013035542,0.0331175649,0.0003311756,0.0067214264,0.0000134429,0.0033672964,0.0000033673
1.86165414,0.0669587716,0.0013391754,0.0340194603,0.0003401946,0.0069042483,0.0000138085,0.0034588830,0.0000034589
1.88646617,0.0687641614,0.0013752832,0.0349335146,0.0003493351,0.0070895243,0.0000141790,0.0035516981,0.0000035517
1.91127820,0.0705938873,0.0014118777,0.0358597338,0.0003585973,0.0072772524,0.0000145545,0.0036457419,0.0000036457
1.93609023,0.0724479627,0.0014489593,0.0367981182,0.0003679812,0.0074674341,0.0000149349,0.0037410155,0.0000037410
1.96090226,0.0743263900,0.0014865278,0.0377486704,0.0003774867,0.0076600723,0.0000153201,0.0038375175,0.0000038375
1.98571429,0.0762292005,0.0015245840,0.0387113875,0.0003871139,0.0078551621,0.0000157103,0.0039352485,0.0000039352
2.01052632,0.0781563938,0.0015631279,0.0396862808,0.0003968628,0.0080527064,0.0000161054,0.0040342093,0.0000040342
2.03533835,0.0801079989,0.0016021600,0.0406733501,0.0004067335,0.0082527043,0.0000165054,0.0041343975,0.0000041344
2.06015038,0.0820840298,0.0016416806,0.0416725962,0.0004167260,0.0084551548,0.0000169103,0.0042358154,0.0000042358
2.08496241,0.0840844944,0.0016816899,0.0426840198,0.0004268402,0.0086600590,0.0000173201,0.0043384621,0.0000043385
2.10977444,0.0861094174,0.0017221883,0.0437076215,0.0004370762,0.0088674163,0.0000177348,0.0044423381,0.0000044423
2.13458647,0.0881587911,0.0017631758,0.0447434135,0.0004474341,0.0090772296,0.0000181545,0.0045474427,0.0000045474
2.15939850,0.0902326507,0.0018046530,0.0457913931,0.0004579139,0.0092894962,0.0000185790,0.0046537758,0.0000046538
2.18421053,0.0923310117,0.0018466202,0.0468515570,0.0004685156,0.0095042148,0.0000190084,0.0047613388,0.0000047613
2.20902256,0.0944538686,0.0018890774,0.0479239145,0.0004792391,0.0097213889,0.0000194428,0.0048701306,0.0000048701
2.23383459,0.0966012697,0.0019320254,0.0490084684,0.0004900847,0.0099410153,0.0000198820,0.0049801506,0.0000049802
2.25864662,0.0987732012,0.0019754640,0.0501052117,0.0005010521,0.0101630976,0.0000203262,0.0050913996,0.0000050914
